,name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers
0,Menghe a'Nyam,6-5,215,Forward,41,19,13.3,0.9,2.1,.414,0.9,2.0,.429,0.0,0.1,.414,0.7,1.2,.529,0.1,0.4,0.3,2.4,1.3,1.7,3.0,1.0
1,Jordan Aaberg,6-9,225,Forward,115,16,11.2,1.5,2.3,.619,1.5,2.3,.619,0.0,0.0,.619,0.6,0.7,.788,0.2,0.2,0.8,3.5,0.7,1.6,2.3,0.6
2,Karl Aaker,6-5,210,Forward,92,29,16.4,1.4,4.0,.346,0.4,1.2,.360,0.9,2.8,.346,0.4,0.6,.611,0.6,0.4,0.2,4.1,0.6,1.4,2.0,0.8
3,Mike Aaman,6-8,210,Forward,107,55,19.0,3.1,6.5,.473,3.1,6.5,.474,0.0,0.0,.473,1.8,2.8,.641,0.4,0.5,0.7,7.9,2.5,3.2,5.7,1.2
4,Carlton Aaron,6-9,322,Center,86,72,24.5,4.3,7.8,.544,4.3,7.8,.544,0.0,0.0,.544,2.0,4.1,.482,0.3,0.6,0.6,10.5,3.1,4.3,7.3,1.5
