,name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,drafted,position_Center,position_Forward,position_Guard
19270,Cilk McSweeney,78,205,Forward,60,7,11.9,1.2,3.4,0.361,0.5,1.4,0.333,0.8,2.0,0.361,0.4,0.6,0.6579999999999999,0.8,0.3,0.1,3.6,0.4,1.4,1.8,0.9,0,0,1,0
19271,Josh McSwiggan,79,220,Guard,64,56,30.5,3.4,8.5,0.397,1.6,3.7,0.418,1.8,4.8,0.397,1.5,1.8,0.8190000000000001,1.4,0.5,0.2,10.0,0.7,3.1,3.7,1.4,0,0,0,1
19272,Ryan McTavish,77,202,Guard,59,23,19.8,1.5,3.7,0.409,1.1,2.1,0.516,0.4,1.6,0.409,0.5,0.7,0.8,0.4,0.3,0.1,4.0,0.5,2.0,2.5,0.9,0,0,0,1
19273,Brian McTear,71,150,Guard,35,14,14.2,1.2,3.3,0.377,1.1,2.8,0.392,0.1,0.5,0.377,0.5,0.8,0.621,1.8,0.3,0.0,3.1,0.1,0.6,0.8,1.5,0,0,0,1
19274,Brandon McThay,71,170,Guard,80,29,21.7,2.5,6.0,0.411,1.4,3.1,0.443,1.1,3.0,0.411,2.3,2.9,0.7859999999999999,2.2,1.0,0.0,8.4,0.5,1.4,1.9,1.7,0,0,0,1
19275,Tywain McTyer,72,185,Guard,48,13,15.2,1.1,3.1,0.36,0.9,2.4,0.391,0.2,0.7,0.36,1.3,1.9,0.6559999999999999,2.6,1.3,0.0,3.7,0.4,1.2,1.6,1.8,0,0,0,1
19276,Jack McVeigh,79,210,Forward,78,15,17.6,1.8,4.9,0.361,0.7,1.6,0.408,1.1,3.3,0.361,0.7,0.9,0.746,0.7,0.4,0.2,5.3,0.5,1.8,2.3,0.7,0,0,1,0
19277,Ian McVey,81,225,Center,45,1,6.2,0.6,1.0,0.609,0.6,1.0,0.609,0.0,0.0,0.609,0.3,0.6,0.444,0.0,0.1,0.5,1.5,0.5,0.8,1.2,0.4,0,1,0,0
19278,Steve McWhorter,74,185,Guard,132,89,27.1,2.5,5.9,0.422,1.8,3.8,0.473,0.7,2.1,0.422,1.4,2.1,0.69,2.8,1.1,0.3,7.1,0.6,2.4,2.9,1.6,0,0,0,1
19280,Johnny McWilliams,78,200,Guard,64,1,8.0,0.6,1.9,0.336,0.4,1.0,0.409,0.2,0.9,0.336,0.4,0.7,0.5579999999999999,0.3,0.3,0.1,1.9,0.2,0.4,0.6,0.3,0,0,0,1
19281,Trent Meacham,75,195,Guard,132,77,24.2,2.5,6.1,0.41,0.9,2.3,0.403,1.6,3.8,0.41,1.4,1.7,0.813,2.3,0.7,0.1,8.0,0.2,1.7,1.9,1.4,0,0,0,1
19282,Jave Meade,73,195,Guard,121,92,32.1,2.6,6.7,0.391,1.9,4.6,0.419,0.7,2.0,0.391,2.6,3.9,0.6659999999999999,5.0,2.0,0.2,8.5,0.9,2.5,3.4,2.2,0,0,0,1
19283,Rodney Meadows,74,190,Guard,28,7,10.5,1.0,3.4,0.302,0.8,2.3,0.333,0.3,1.2,0.302,0.9,1.3,0.6859999999999999,0.4,0.1,0.0,3.2,0.3,0.8,1.0,1.0,0,0,0,1
19284,Tim Meadows,73,195,Guard,123,89,23.1,2.2,5.9,0.37,1.4,3.3,0.4320000000000001,0.8,2.6,0.37,1.1,1.6,0.652,1.1,1.0,0.1,6.2,1.0,2.3,3.3,1.3,0,0,0,1
19285,Garner Meads,80,230,Forward,47,27,16.5,1.6,3.4,0.472,1.6,3.4,0.478,0.0,0.0,0.472,1.1,1.6,0.667,0.4,0.4,0.4,4.3,1.3,2.1,3.4,1.1,0,0,1,0
19286,Harrison Meads,79,215,Forward,23,2,13.0,1.3,2.2,0.608,1.3,2.2,0.608,0.0,0.0,0.608,0.6,1.0,0.636,0.0,0.2,0.2,3.3,0.8,1.3,2.1,0.5,0,0,1,0
19287,Andy Means,77,200,Guard,17,0,2.8,0.2,0.5,0.444,0.1,0.4,0.28600000000000003,0.1,0.1,0.444,0.1,0.2,0.5,0.1,0.2,0.0,0.7,0.3,0.5,0.8,0.2,0,0,0,1
19288,Morgan Means,75,175,Guard,96,71,29.0,3.3,8.2,0.397,2.1,4.7,0.44,1.2,3.6,0.397,2.2,2.8,0.792,2.6,1.0,0.0,9.9,0.6,3.0,3.6,2.3,0,0,0,1
19289,Donte Medder,74,190,Guard,41,0,11.7,1.2,3.1,0.391,0.4,0.9,0.472,0.8,2.2,0.391,1.0,1.4,0.6609999999999999,0.9,0.5,0.0,4.2,0.0,0.8,0.8,1.2,0,0,0,1
19290,Lester Medford,70,175,Guard,68,68,31.0,2.7,6.9,0.393,1.4,3.4,0.41,1.3,3.5,0.393,1.5,2.2,0.701,4.8,1.5,0.1,8.3,0.3,1.5,1.8,2.0,0,0,0,1
19291,Mirza Medinic,82,240,Center,23,0,3.8,0.2,0.7,0.313,0.2,0.7,0.313,0.0,0.0,0.313,0.1,0.2,0.4,0.1,0.0,0.2,0.5,0.1,0.2,0.3,0.3,0,1,0,0
19293,Brendan Medley-Bacon,84,235,Center,30,1,10.4,0.8,1.8,0.453,0.8,1.6,0.469,0.0,0.1,0.453,0.7,1.4,0.524,0.2,0.1,0.5,2.4,0.9,2.0,2.8,1.3,0,1,0,0
19294,Preston Medlin,76,185,Guard,107,84,29.6,4.2,9.0,0.461,2.2,4.3,0.51,2.0,4.8,0.461,2.5,3.1,0.805,3.0,0.5,0.1,12.8,0.1,2.9,3.0,1.6,0,0,0,1
19295,Carlos Medlock,72,186,Guard,110,108,32.2,4.1,10.2,0.398,2.1,4.8,0.448,1.9,5.5,0.398,4.2,5.3,0.804,3.6,1.5,0.1,14.3,0.6,2.4,3.0,3.7,0,0,0,1
19296,DeAndre Medlock,82,215,Forward,10,0,7.3,0.2,1.0,0.2,0.2,1.0,0.2,0.0,0.0,0.2,0.6,1.8,0.333,0.1,0.1,0.3,1.0,0.3,0.4,0.7,1.1,0,0,1,0
