,height,weight,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,drafted,position_Center,position_Forward,position_Guard
6900,83,270,130,97,25.8,4.7,8.8,0.5379999999999999,4.6,8.4,0.5489999999999999,0.1,0.4,0.5379999999999999,3.7,4.8,0.763,1.4,1.1,0.7,13.2,2.1,4.9,7.0,2.1,1,1,0,0
6963,77,215,142,25,17.4,2.3,5.4,0.433,0.7,1.4,0.508,1.6,4.0,0.433,0.9,1.1,0.769,0.5,0.4,0.1,7.1,0.2,1.4,1.6,0.6,1,0,0,1
6974,78,225,130,122,26.6,4.4,7.8,0.5589999999999999,4.4,7.7,0.564,0.0,0.1,0.5589999999999999,1.4,2.4,0.5579999999999999,1.4,1.3,1.1,10.1,2.5,4.4,6.9,1.7,1,0,0,1
6998,83,200,67,34,22.5,4.1,8.6,0.477,3.2,6.4,0.495,0.9,2.2,0.477,2.5,3.1,0.79,1.0,0.7,1.9,11.6,0.9,4.9,5.8,1.9,1,0,1,0
7062,84,255,51,49,22.7,3.0,5.8,0.52,3.0,5.7,0.528,0.0,0.1,0.52,1.1,1.7,0.614,0.5,0.9,1.7,7.1,2.3,4.0,6.4,1.5,1,0,1,0
7084,78,210,117,85,24.7,3.8,8.8,0.429,2.7,5.7,0.478,1.0,3.1,0.429,2.3,3.3,0.684,2.3,0.9,0.2,10.8,1.0,3.0,4.0,1.8,1,0,0,1
7090,81,230,113,81,27.9,4.4,9.0,0.493,3.2,5.3,0.591,1.3,3.6,0.493,2.0,2.8,0.695,1.3,0.6,0.5,12.1,1.6,3.4,5.0,1.0,1,0,1,0
7102,75,190,136,125,34.5,4.7,11.7,0.401,2.7,6.3,0.4320000000000001,1.9,5.3,0.401,5.3,6.3,0.845,4.0,1.3,0.2,16.6,0.8,2.7,3.5,2.8,1,0,0,1
7119,76,190,136,132,36.4,4.3,10.5,0.415,2.2,4.9,0.456,2.1,5.6,0.415,3.4,4.0,0.86,5.6,1.1,0.1,14.2,0.8,2.6,3.4,2.5,1,0,0,1
7160,80,220,37,32,31.1,5.7,11.9,0.476,4.6,8.9,0.515,1.1,3.0,0.476,2.6,3.7,0.71,1.8,1.3,1.1,15.1,2.2,4.7,6.9,2.2,1,0,1,0
7190,71,185,133,102,27.3,3.4,8.0,0.428,2.4,5.2,0.471,1.0,2.9,0.428,2.8,3.6,0.789,3.0,1.4,0.1,10.7,1.0,2.1,3.2,2.3,1,0,0,1
7203,79,220,35,35,33.4,5.5,10.5,0.523,5.3,9.5,0.562,0.2,1.0,0.523,2.7,4.2,0.6459999999999999,1.5,0.9,0.4,13.9,2.4,3.3,5.7,2.1,1,0,1,0
7287,81,218,27,1,7.5,1.2,2.1,0.569,1.2,2.1,0.569,0.0,0.0,0.569,0.6,1.0,0.556,0.0,0.3,0.9,3.0,0.6,1.9,2.5,0.6,1,0,1,0
7315,79,225,45,40,32.5,5.4,11.9,0.456,4.7,9.7,0.482,0.8,2.2,0.456,3.8,5.9,0.65,1.0,0.8,0.1,15.5,3.0,3.0,6.0,1.9,1,0,1,0
7322,74,192,93,81,32.6,5.5,12.4,0.448,3.7,7.5,0.493,1.9,4.9,0.448,2.9,3.9,0.74,2.6,1.3,0.3,15.9,0.9,2.5,3.4,2.1,1,0,0,1
7377,73,175,120,89,31.4,4.3,10.2,0.416,1.9,4.5,0.42,2.4,5.7,0.416,3.2,3.8,0.8370000000000001,5.1,1.3,0.1,14.1,0.5,2.6,3.1,1.9,1,0,0,1
7380,83,245,102,81,27.3,3.3,6.1,0.545,3.3,6.0,0.546,0.0,0.0,0.545,1.7,2.7,0.64,1.2,1.0,2.6,8.3,3.0,4.9,7.9,1.6,1,1,0,0
7449,78,200,86,86,30.1,3.4,8.0,0.42,2.0,4.6,0.446,1.3,3.5,0.42,4.9,5.9,0.83,2.6,1.1,0.3,13.0,0.5,2.9,3.3,1.8,1,0,0,1
7450,80,250,91,91,35.1,6.8,11.9,0.5710000000000001,6.3,10.7,0.591,0.5,1.2,0.5710000000000001,7.4,9.4,0.7859999999999999,1.2,0.4,1.7,21.4,3.4,5.5,8.8,3.4,1,0,1,0
7649,80,268,149,112,21.7,2.7,4.4,0.614,2.7,4.4,0.614,0.0,0.0,0.614,1.3,3.1,0.42,0.5,1.1,1.8,6.7,3.4,4.7,8.1,1.3,1,0,1,0
7655,76,180,75,74,30.0,4.6,10.0,0.455,2.5,5.1,0.493,2.1,5.0,0.455,2.9,3.9,0.732,1.8,0.8,0.1,14.1,1.1,2.8,3.9,1.7,1,0,0,1
7680,77,209,134,133,29.1,4.8,10.4,0.464,3.0,5.6,0.535,1.8,4.8,0.464,1.5,1.9,0.7959999999999999,1.1,0.8,0.2,12.9,1.2,3.8,5.0,1.1,1,0,0,1
7695,75,175,95,64,32.1,6.1,14.1,0.4320000000000001,3.5,7.3,0.473,2.6,6.8,0.4320000000000001,2.9,3.6,0.82,2.7,1.3,0.7,17.8,0.7,2.2,2.9,2.2,1,0,0,1
7727,73,205,130,126,34.2,5.7,12.9,0.442,3.8,8.0,0.483,1.8,4.9,0.442,3.6,4.4,0.802,2.6,1.8,0.3,16.8,0.8,3.0,3.8,2.6,1,0,0,1
7752,75,190,122,118,34.0,5.1,11.9,0.43,3.4,7.2,0.471,1.7,4.7,0.43,2.7,3.6,0.745,3.1,2.0,0.2,14.6,0.7,2.6,3.2,2.2,1,0,0,1
7837,74,180,131,88,24.0,2.0,4.9,0.412,1.4,3.1,0.451,0.6,1.8,0.412,0.9,1.5,0.601,4.8,0.9,0.1,5.5,0.2,1.9,2.1,2.2,1,0,0,1
7859,82,270,34,30,28.4,4.6,8.6,0.5379999999999999,4.6,8.5,0.541,0.0,0.1,0.5379999999999999,0.8,2.6,0.295,0.4,0.8,2.7,10.0,3.4,4.2,7.6,1.5,1,1,0,0
7891,79,225,130,130,36.4,5.3,10.5,0.504,4.4,8.0,0.5479999999999999,0.9,2.5,0.504,4.4,6.0,0.731,3.0,1.4,0.3,15.9,2.9,4.3,7.2,2.1,1,0,1,0
7912,73,185,144,113,33.4,3.0,7.2,0.418,1.9,3.7,0.511,1.1,3.5,0.418,1.7,2.4,0.693,5.7,2.1,0.1,8.8,0.8,2.6,3.4,2.5,1,0,0,1
7915,82,218,97,0,10.0,1.1,2.6,0.4270000000000001,0.6,1.2,0.544,0.5,1.4,0.4270000000000001,0.4,0.7,0.6559999999999999,0.4,0.1,0.0,3.1,0.5,1.2,1.7,0.4,1,0,1,0
7982,75,205,95,83,31.5,4.5,9.9,0.45,3.7,7.8,0.476,0.8,2.2,0.45,3.1,4.5,0.693,5.8,2.2,0.4,12.8,1.1,4.0,5.1,3.3,1,0,0,1
8026,81,215,35,35,35.9,8.7,18.5,0.473,6.4,12.7,0.505,2.3,5.8,0.473,6.0,7.3,0.816,1.3,1.9,1.9,25.8,3.0,8.1,11.1,2.8,1,0,1,0
8082,75,190,113,106,30.4,4.6,11.9,0.39,3.4,8.1,0.423,1.2,3.8,0.39,4.0,5.4,0.735,2.9,1.7,0.5,14.4,1.1,2.8,3.9,2.8,1,0,0,1
8111,80,219,75,58,26.2,4.9,10.5,0.47,3.4,6.2,0.555,1.5,4.3,0.47,3.7,4.6,0.8190000000000001,0.7,0.8,0.8,15.1,1.8,3.8,5.7,1.7,1,0,1,0
8142,81,215,69,65,32.1,4.0,8.6,0.463,3.9,7.6,0.51,0.1,1.0,0.463,3.1,4.2,0.736,2.6,0.9,0.7,11.2,2.8,5.2,7.9,2.1,1,0,1,0
8178,79,220,123,90,25.8,3.1,8.1,0.385,1.6,3.8,0.407,1.6,4.3,0.385,1.8,2.2,0.812,1.1,0.3,0.5,9.6,0.8,3.8,4.6,1.5,1,0,1,0
8249,84,275,128,40,15.1,2.5,4.6,0.556,2.5,4.6,0.556,0.0,0.0,0.556,1.2,1.9,0.653,0.2,0.2,1.4,6.3,1.1,2.3,3.4,0.9,1,1,0,0
8250,78,205,27,7,14.2,1.0,3.0,0.341,1.0,2.4,0.406,0.1,0.7,0.341,1.6,2.3,0.721,0.7,0.3,0.1,3.8,0.5,1.3,1.9,1.3,1,0,1,0
8285,79,212,62,52,22.8,3.2,6.9,0.472,2.8,5.4,0.521,0.5,1.5,0.472,2.1,3.2,0.642,1.0,0.8,0.6,9.0,1.6,3.0,4.7,1.7,1,0,1,0
8398,82,245,33,33,33.5,5.9,13.2,0.446,5.0,10.0,0.495,0.9,3.2,0.446,4.3,5.8,0.7490000000000001,1.8,0.8,1.5,17.0,2.2,7.6,9.7,2.4,1,0,1,0
8406,76,200,115,112,28.5,5.4,11.6,0.463,3.4,6.6,0.513,2.0,5.0,0.463,2.0,2.5,0.809,2.2,0.9,0.1,14.7,1.1,3.0,4.1,1.5,1,0,0,1
8479,84,250,28,20,23.1,3.8,6.1,0.626,3.8,5.9,0.639,0.0,0.2,0.626,3.5,5.1,0.685,1.4,0.9,2.6,11.2,2.3,5.8,8.1,2.4,1,1,0,0
8496,77,230,128,97,32.3,6.9,13.8,0.5,6.5,12.4,0.52,0.4,1.4,0.5,3.4,4.9,0.703,1.6,1.3,0.3,17.6,2.1,3.9,6.0,1.9,1,0,0,1
8525,78,200,141,106,24.2,3.7,8.7,0.42,2.0,4.4,0.444,1.7,4.3,0.42,2.1,2.9,0.727,1.4,1.1,0.2,11.1,0.7,2.4,3.0,1.7,1,0,0,1
8533,79,210,67,66,31.0,4.5,9.0,0.493,3.0,4.9,0.611,1.5,4.1,0.493,2.8,3.6,0.7879999999999999,2.4,1.7,1.0,13.2,1.6,3.8,5.4,2.5,1,0,0,1
8535,74,180,34,34,35.7,4.4,10.6,0.411,3.5,8.1,0.429,0.9,2.5,0.411,3.4,4.4,0.765,5.5,2.1,0.2,12.9,0.8,2.6,3.4,1.7,1,0,0,1
8670,72,175,54,52,29.1,5.7,12.7,0.448,4.7,10.2,0.458,1.0,2.5,0.448,4.2,5.1,0.818,5.8,1.5,0.1,16.6,0.6,3.2,3.8,2.7,1,0,0,1
8671,81,196,134,130,23.5,3.2,5.0,0.639,3.1,4.7,0.654,0.1,0.2,0.639,1.5,2.2,0.684,0.5,0.6,1.7,7.9,2.4,3.5,5.9,1.0,1,0,1,0
8689,80,245,69,66,34.4,4.7,9.7,0.486,4.7,9.6,0.486,0.0,0.0,0.486,5.9,9.4,0.625,1.4,1.2,0.6,15.3,3.8,7.7,11.5,3.3,1,0,1,0
8700,78,219,37,35,29.0,6.2,13.6,0.455,5.3,10.3,0.514,0.9,3.4,0.455,3.7,5.2,0.711,3.9,2.1,0.8,17.1,1.3,4.1,5.4,3.6,1,0,0,1
8724,75,185,138,79,27.7,3.9,9.0,0.4320000000000001,2.3,5.0,0.464,1.6,4.0,0.4320000000000001,2.2,2.9,0.746,2.1,1.4,0.2,11.6,0.8,1.9,2.8,1.9,1,0,0,1
8747,83,255,121,67,17.9,2.7,4.9,0.562,2.7,4.9,0.562,0.0,0.0,0.562,2.3,3.9,0.584,0.1,0.3,1.7,7.7,1.8,2.7,4.5,1.6,1,1,0,0
8817,80,228,136,122,29.1,5.8,10.1,0.569,5.7,10.0,0.5720000000000001,0.0,0.1,0.569,3.2,5.6,0.583,0.9,1.7,1.8,14.8,4.4,7.9,12.3,2.2,1,0,1,0
8826,74,180,66,66,32.2,4.4,10.8,0.41,3.0,6.4,0.463,1.5,4.4,0.41,3.0,4.0,0.76,5.2,1.2,0.2,13.3,0.6,2.4,3.0,3.8,1,0,0,1
8832,77,220,121,75,27.0,4.3,10.6,0.41,2.7,5.6,0.474,1.7,5.0,0.41,2.9,3.9,0.746,1.6,0.8,0.1,13.3,1.5,2.3,3.8,1.8,1,0,0,1
8883,82,246,36,35,27.5,5.0,8.1,0.611,5.0,8.1,0.613,0.0,0.0,0.611,2.5,4.0,0.629,1.0,0.9,2.1,12.4,3.0,5.4,8.4,2.5,1,0,1,0
8893,83,235,131,119,30.1,6.9,12.9,0.532,6.0,10.3,0.579,0.9,2.6,0.532,4.2,5.1,0.815,1.3,0.7,1.5,18.8,2.5,7.1,9.6,1.7,1,0,1,0
8929,69,180,101,100,35.9,5.5,12.9,0.426,4.1,8.8,0.464,1.4,4.1,0.426,5.1,6.2,0.8220000000000001,7.8,1.6,0.2,17.5,0.7,3.7,4.3,3.5,1,0,0,1
8939,78,197,94,69,27.9,3.6,8.0,0.456,2.6,4.7,0.545,1.1,3.2,0.456,1.9,2.6,0.7040000000000001,1.3,1.0,0.8,10.2,1.3,3.5,4.8,1.7,1,0,0,1
8954,73,198,101,100,33.9,4.1,9.7,0.423,2.4,5.1,0.467,1.7,4.6,0.423,2.6,3.5,0.731,6.9,1.9,0.3,12.5,0.7,3.4,4.1,3.6,1,0,0,1
9016,72,178,137,137,32.8,4.6,10.8,0.4320000000000001,2.7,5.8,0.46,2.0,5.0,0.4320000000000001,3.2,3.9,0.83,4.6,0.8,0.1,14.5,0.6,2.6,3.2,2.3,1,0,0,1
9054,79,215,129,65,23.6,3.9,8.4,0.463,3.1,6.0,0.51,0.8,2.3,0.463,2.3,3.3,0.6759999999999999,1.6,0.9,0.4,10.8,1.6,3.5,5.0,1.5,1,0,0,1
9104,80,218,134,91,28.6,3.6,8.7,0.411,2.2,4.9,0.449,1.4,3.8,0.411,2.1,3.2,0.657,1.9,0.8,0.7,10.7,2.6,4.5,7.1,1.8,1,0,1,0
9139,75,188,127,107,26.3,3.6,8.0,0.452,2.1,4.1,0.507,1.6,4.0,0.452,2.1,2.9,0.736,1.8,1.2,0.1,11.0,1.3,2.9,4.2,1.6,1,0,0,1
9251,75,175,63,4,5.0,0.4,1.0,0.394,0.2,0.4,0.458,0.2,0.7,0.394,0.2,0.3,0.5,0.3,0.1,0.0,1.2,0.1,0.3,0.5,0.4,1,0,0,1
9288,72,185,73,73,36.5,5.6,12.2,0.46,4.2,8.1,0.525,1.4,4.2,0.46,4.0,5.1,0.782,6.0,1.5,0.2,16.6,0.6,2.1,2.7,3.1,1,0,0,1
9322,84,265,87,64,26.5,4.2,7.4,0.573,4.2,7.4,0.573,0.0,0.0,0.573,2.6,4.3,0.603,2.1,0.4,1.8,11.0,2.1,5.2,7.3,2.0,1,1,0,0
9325,75,175,138,108,29.1,4.1,9.1,0.449,1.7,3.7,0.47,2.3,5.4,0.449,2.1,2.5,0.821,1.3,0.6,0.1,12.6,0.5,2.0,2.5,1.2,1,0,0,1
9327,79,220,129,80,27.3,4.5,10.7,0.426,3.6,7.4,0.481,1.0,3.2,0.426,2.7,4.1,0.653,2.0,0.9,0.7,12.7,1.5,3.9,5.5,2.3,1,0,1,0
9338,81,275,26,18,25.5,3.7,8.5,0.4320000000000001,3.3,7.2,0.462,0.3,1.3,0.4320000000000001,3.1,5.1,0.609,0.7,0.2,0.7,10.8,1.6,4.3,5.9,2.5,1,1,0,0
9377,81,225,118,87,23.9,3.8,7.1,0.54,3.8,7.0,0.5429999999999999,0.0,0.0,0.54,2.2,3.8,0.57,0.6,0.5,1.5,9.8,2.6,3.8,6.5,1.9,1,0,1,0
9380,72,165,66,66,33.0,4.3,10.5,0.406,3.9,9.0,0.436,0.3,1.5,0.406,4.0,5.0,0.8009999999999999,8.0,2.1,0.1,12.9,0.7,3.2,3.8,3.6,1,0,0,1
9426,71,180,47,46,33.0,5.3,13.4,0.397,4.1,9.6,0.431,1.2,3.8,0.397,4.1,6.1,0.677,5.9,1.2,0.1,16.0,1.6,3.8,5.4,4.7,1,0,0,1
9498,75,187,36,34,29.6,5.9,12.4,0.479,5.5,10.5,0.521,0.5,1.9,0.479,4.3,5.9,0.736,4.6,1.5,0.2,16.7,0.6,3.4,4.0,2.4,1,0,0,1
9514,76,210,131,128,31.3,5.2,13.1,0.399,3.6,8.1,0.441,1.6,4.9,0.399,3.0,3.8,0.7809999999999999,3.2,1.5,0.4,15.0,1.4,3.4,4.8,2.9,1,0,0,1
9565,77,205,85,54,25.9,4.3,10.0,0.426,3.1,6.2,0.504,1.2,3.8,0.426,4.0,5.1,0.78,1.9,1.0,0.6,13.7,1.5,5.5,7.0,2.6,1,0,0,1
9629,73,170,135,113,30.6,3.8,9.0,0.418,3.2,7.2,0.445,0.5,1.8,0.418,3.4,4.3,0.774,4.7,1.5,0.1,11.4,0.9,3.0,3.9,2.6,1,0,0,1
9640,74,195,139,102,29.6,6.0,13.3,0.455,3.9,7.8,0.4970000000000001,2.1,5.4,0.455,4.5,5.1,0.882,3.7,1.2,0.1,18.7,0.5,2.1,2.6,2.5,1,0,0,1
9682,82,240,121,111,28.7,5.2,11.7,0.448,3.7,7.4,0.501,1.5,4.3,0.448,3.7,4.7,0.7859999999999999,0.9,0.7,0.6,15.6,1.6,3.3,4.9,1.4,1,0,1,0
9744,83,248,133,119,27.7,5.3,9.5,0.562,5.3,9.3,0.568,0.0,0.2,0.562,2.8,3.7,0.759,1.3,0.6,1.9,13.5,2.8,4.6,7.3,1.4,1,1,0,0
9770,81,240,60,23,20.4,2.6,5.2,0.503,2.6,5.0,0.518,0.0,0.2,0.503,2.2,3.4,0.649,0.4,0.6,1.0,7.4,2.3,4.1,6.4,1.9,1,0,1,0
9790,76,195,25,25,35.7,8.4,17.6,0.476,6.3,12.5,0.502,2.1,5.0,0.476,4.4,6.7,0.649,5.9,1.6,1.2,23.2,1.3,4.4,5.7,3.2,1,0,0,1
9862,81,250,100,89,29.5,4.6,9.8,0.473,3.9,7.6,0.513,0.7,2.2,0.473,2.7,3.7,0.736,1.0,0.6,4.4,12.7,2.0,5.0,7.0,2.2,1,0,1,0
