,height,weight,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers,drafted,position_Center,position_Forward,position_Guard
24292,78,210,120,104,30.6,4.6,10.4,0.44,4.0,8.5,0.472,0.6,1.9,0.44,2.8,3.4,0.8140000000000001,3.0,1.4,0.4,12.5,1.3,4.0,5.3,2.9,1,0,1,0
24334,78,220,76,76,33.0,4.6,8.8,0.525,3.9,6.4,0.603,0.7,2.4,0.525,2.1,2.9,0.718,1.1,1.0,0.3,12.0,1.8,3.1,4.9,1.0,1,0,1,0
24381,69,180,89,66,28.2,5.0,11.0,0.457,3.6,6.9,0.523,1.4,4.1,0.457,3.0,3.7,0.7929999999999999,3.2,1.6,0.1,14.4,1.6,2.3,3.9,2.0,1,0,0,1
24407,81,237,105,42,18.7,3.8,7.2,0.525,3.7,7.0,0.525,0.1,0.1,0.525,2.2,3.6,0.606,1.0,0.6,0.7,9.8,2.1,5.2,7.3,1.6,1,0,1,0
24574,73,171,68,62,28.1,3.7,7.4,0.493,3.3,6.0,0.544,0.4,1.5,0.493,1.9,3.3,0.5770000000000001,4.2,2.3,0.2,9.6,0.8,3.7,4.5,2.2,1,0,0,1
24596,75,190,40,39,29.2,5.2,10.9,0.477,4.3,8.3,0.521,0.9,2.6,0.477,3.7,5.1,0.7120000000000001,4.7,1.2,0.4,14.9,1.4,3.2,4.5,2.7,1,0,0,1
24668,78,195,69,39,24.4,4.6,10.1,0.453,2.9,5.5,0.528,1.7,4.6,0.453,1.4,1.8,0.764,1.2,0.9,0.7,12.3,1.1,3.5,4.7,1.4,1,0,0,1
24725,78,215,103,71,27.5,5.2,10.1,0.512,4.7,8.6,0.541,0.5,1.5,0.512,3.5,4.5,0.765,3.0,1.0,0.5,14.3,1.8,3.2,5.0,2.1,1,0,0,1
24744,73,190,73,45,26.8,4.2,10.3,0.408,3.1,6.8,0.447,1.2,3.5,0.408,2.4,3.1,0.772,2.4,1.5,0.1,12.0,1.0,3.3,4.3,1.4,1,0,0,1
24795,78,210,109,101,31.3,4.9,10.9,0.449,3.0,6.6,0.458,1.9,4.3,0.449,1.8,2.5,0.733,2.0,0.7,0.8,13.6,1.5,4.0,5.5,2.1,1,0,0,1
24811,77,180,35,34,33.9,6.6,14.7,0.449,3.9,8.1,0.479,2.7,6.6,0.449,3.4,4.5,0.7559999999999999,5.0,1.6,0.3,19.3,1.0,4.7,5.7,2.9,1,0,0,1
24829,72,170,86,83,35.1,4.3,9.7,0.444,3.3,7.1,0.469,1.0,2.6,0.444,4.2,4.9,0.8420000000000001,6.9,1.9,0.1,13.7,0.6,2.9,3.5,4.0,1,0,0,1
24890,82,231,74,32,26.6,5.2,8.2,0.632,5.1,8.0,0.638,0.1,0.2,0.632,3.1,4.2,0.7290000000000001,1.3,0.5,0.6,13.5,2.6,6.8,9.4,2.0,1,0,1,0
24894,84,260,136,111,21.7,3.0,6.0,0.504,3.0,5.9,0.505,0.0,0.0,0.504,3.3,4.5,0.735,0.7,0.5,1.4,9.3,1.8,3.2,5.0,1.6,1,1,0,0
24986,81,214,66,64,30.3,5.8,12.4,0.469,5.8,12.2,0.476,0.0,0.2,0.469,2.2,3.7,0.607,1.1,0.9,1.0,13.9,2.1,4.2,6.4,1.8,1,0,1,0
24987,83,235,32,31,24.9,2.4,5.7,0.426,2.4,5.7,0.426,0.0,0.0,0.426,1.6,3.0,0.526,1.2,0.5,1.7,6.4,2.5,4.1,6.5,1.7,1,0,1,0
25009,81,260,70,70,27.1,4.8,8.8,0.5489999999999999,4.8,8.8,0.5489999999999999,0.0,0.0,0.5489999999999999,3.8,5.5,0.6890000000000001,1.1,0.6,1.2,13.5,2.9,3.0,5.9,2.3,1,0,1,0
25054,82,235,101,82,23.5,4.1,7.9,0.52,4.1,7.7,0.526,0.0,0.2,0.52,2.1,3.6,0.5770000000000001,0.5,0.6,2.7,10.3,2.5,5.2,7.7,1.5,1,0,1,0
25057,77,210,94,94,28.5,3.7,8.7,0.431,2.4,4.8,0.501,1.3,3.9,0.431,1.1,1.7,0.639,1.3,1.4,0.3,9.9,1.1,3.3,4.4,1.5,1,0,0,1
25234,85,255,118,90,22.3,3.0,5.6,0.542,3.0,5.6,0.5429999999999999,0.0,0.0,0.542,1.3,2.1,0.632,0.8,0.6,1.3,7.4,2.0,3.5,5.4,1.7,1,1,0,0
25396,79,190,130,94,24.3,2.7,5.8,0.462,2.1,3.9,0.534,0.6,1.9,0.462,2.1,2.8,0.752,0.8,0.7,0.5,8.1,1.4,3.5,5.0,1.2,1,0,1,0
25397,72,180,90,75,28.7,3.1,7.7,0.396,1.9,4.4,0.42,1.2,3.3,0.396,3.0,3.7,0.81,4.0,1.3,0.2,10.3,0.6,2.8,3.4,2.9,1,0,0,1
25398,80,237,130,106,26.6,4.5,8.6,0.521,4.4,8.3,0.528,0.1,0.3,0.521,2.7,3.5,0.775,1.0,0.7,0.4,11.8,2.6,4.7,7.3,1.6,1,0,1,0
25399,72,180,64,45,26.0,4.1,9.5,0.436,2.9,5.9,0.491,1.2,3.5,0.436,1.7,2.3,0.747,3.7,1.0,0.1,11.2,0.4,2.4,2.8,1.4,1,0,0,1
25400,73,170,55,33,22.9,1.9,5.0,0.389,1.5,3.6,0.429,0.4,1.4,0.389,1.9,2.8,0.677,2.0,1.3,0.1,6.2,1.5,2.1,3.5,1.6,1,0,0,1
25506,74,183,26,11,20.4,2.8,7.4,0.373,1.5,3.8,0.384,1.3,3.6,0.373,1.1,1.4,0.757,2.2,0.8,0.0,7.9,0.4,1.8,2.2,2.0,1,0,0,1
25508,77,230,109,108,29.5,3.9,8.9,0.436,2.4,4.8,0.494,1.5,4.1,0.436,1.8,2.8,0.632,2.6,0.7,0.4,11.0,0.9,2.1,3.0,1.9,1,0,0,1
25553,75,190,97,94,29.2,3.2,7.6,0.417,2.9,6.7,0.43,0.3,0.8,0.417,2.2,3.0,0.74,4.9,1.2,0.1,8.8,1.0,3.2,4.2,2.6,1,0,0,1
25597,75,190,131,129,31.0,3.4,7.6,0.452,2.6,5.4,0.49,0.8,2.2,0.452,2.5,3.1,0.7859999999999999,5.1,1.2,0.1,10.1,0.7,3.0,3.7,3.0,1,0,0,1
25630,81,245,40,10,15.3,2.8,5.2,0.534,2.8,5.1,0.541,0.0,0.1,0.534,1.4,2.8,0.5,0.9,0.6,0.9,7.0,1.4,2.4,3.8,1.6,1,0,1,0
25828,77,212,92,91,31.3,4.2,10.6,0.396,3.0,6.7,0.45,1.2,4.0,0.396,3.1,4.1,0.738,4.2,2.3,0.2,12.7,1.1,3.4,4.5,3.0,1,0,0,1
25838,81,230,68,61,32.7,6.5,11.8,0.551,6.4,11.5,0.5589999999999999,0.0,0.3,0.551,3.5,5.0,0.711,1.5,0.9,2.0,16.6,3.6,6.1,9.7,1.9,1,0,1,0
25872,77,198,99,87,30.6,5.0,12.0,0.412,3.3,7.3,0.445,1.7,4.7,0.412,4.5,5.7,0.787,1.7,0.9,0.3,16.1,1.2,3.1,4.2,2.8,1,0,0,1
25895,81,255,106,69,26.6,5.5,9.9,0.5579999999999999,5.5,9.7,0.5660000000000001,0.1,0.2,0.5579999999999999,3.9,5.0,0.784,0.9,0.7,0.7,15.0,2.8,5.5,8.3,1.7,1,0,1,0
25899,82,225,33,32,34.9,6.5,11.7,0.56,6.5,11.6,0.561,0.0,0.1,0.56,6.0,9.0,0.67,4.8,2.0,0.8,19.2,3.1,8.6,11.8,3.4,1,0,1,0
25903,81,235,63,33,18.9,2.7,4.8,0.565,2.7,4.7,0.5660000000000001,0.0,0.1,0.565,2.3,3.5,0.652,1.1,0.4,1.8,7.7,1.3,2.9,4.1,1.3,1,1,0,0
25927,78,195,30,29,30.1,5.1,10.0,0.512,4.1,7.3,0.56,1.1,2.8,0.512,3.4,4.7,0.716,2.2,0.7,0.4,14.7,1.4,3.6,5.0,3.3,1,0,0,1
25934,77,175,37,19,23.5,3.0,7.6,0.395,2.1,4.9,0.4320000000000001,0.9,2.6,0.395,1.9,2.4,0.775,2.0,0.6,0.1,8.7,0.4,1.3,1.6,1.2,1,0,0,1
26013,82,245,133,111,23.2,3.8,6.5,0.586,3.8,6.4,0.5920000000000001,0.0,0.1,0.586,2.3,3.4,0.687,0.6,0.4,1.6,10.0,1.9,3.6,5.5,2.0,1,0,1,0
26020,82,245,121,34,15.1,1.8,3.7,0.479,1.8,3.6,0.493,0.0,0.1,0.479,1.3,2.0,0.654,1.4,0.3,0.8,4.9,0.9,2.2,3.2,1.3,1,1,0,0
26048,80,230,148,147,33.0,5.5,12.7,0.433,3.7,7.7,0.479,1.8,5.0,0.433,3.4,4.3,0.773,2.0,1.1,0.7,16.2,2.4,4.4,6.9,2.1,1,0,1,0
26052,72,185,123,123,32.8,5.2,12.9,0.406,3.4,7.9,0.433,1.8,5.0,0.406,4.7,5.5,0.846,4.8,1.6,0.1,16.9,1.0,3.0,4.0,3.3,1,0,0,1
26053,81,220,95,91,29.1,3.5,8.4,0.419,2.4,5.1,0.476,1.1,3.3,0.419,2.1,3.5,0.5920000000000001,1.5,1.9,1.4,10.3,2.0,4.2,6.2,2.4,1,0,1,0
26058,80,216,60,53,31.4,5.0,8.8,0.5670000000000001,4.7,8.1,0.579,0.3,0.7,0.5670000000000001,3.3,4.1,0.794,1.5,1.1,1.9,13.5,3.7,6.9,10.5,2.0,1,0,1,0
26088,72,185,144,113,26.2,2.9,6.9,0.417,2.2,4.5,0.482,0.7,2.4,0.417,2.0,2.8,0.737,4.7,1.8,0.1,8.4,0.3,2.1,2.4,2.7,1,0,0,1
26160,75,205,138,103,28.0,3.8,8.8,0.428,2.9,6.3,0.464,0.8,2.5,0.428,2.7,3.6,0.732,2.7,0.6,0.1,11.0,0.5,2.7,3.3,1.9,1,0,0,1
26183,76,220,64,63,33.1,4.9,11.9,0.413,3.5,7.3,0.488,1.4,4.6,0.413,5.5,7.3,0.7509999999999999,4.5,2.9,0.6,16.6,1.5,4.4,5.9,3.0,1,0,0,1
26264,81,210,66,12,16.3,1.8,4.4,0.418,1.5,3.1,0.488,0.3,1.3,0.418,1.1,1.7,0.655,0.9,0.3,0.2,5.1,0.5,2.3,2.8,1.3,1,0,0,1
26265,80,225,32,4,8.5,0.4,1.1,0.343,0.4,1.1,0.343,0.0,0.0,0.343,0.5,1.1,0.429,0.2,0.2,0.3,1.2,0.6,1.0,1.6,0.6,1,0,1,0
26267,74,195,125,100,27.8,3.6,8.9,0.403,2.3,5.3,0.438,1.3,3.7,0.403,2.0,2.9,0.703,1.8,0.9,0.1,10.5,1.3,3.1,4.4,1.5,1,0,0,1
26268,73,170,128,7,8.8,0.6,1.8,0.35600000000000004,0.5,1.2,0.384,0.2,0.6,0.35600000000000004,0.6,1.0,0.63,0.3,0.4,0.1,2.1,0.4,1.0,1.4,0.6,1,0,0,1
26269,76,210,62,61,31.5,4.7,9.6,0.487,2.6,5.2,0.509,2.0,4.4,0.487,2.4,3.2,0.755,2.3,0.7,0.3,13.8,0.9,3.7,4.5,1.5,1,0,0,1
26278,79,250,130,127,34.0,7.1,12.7,0.5579999999999999,7.0,12.2,0.5720000000000001,0.1,0.5,0.5579999999999999,3.8,5.9,0.643,1.9,1.3,0.8,18.1,3.0,5.6,8.6,2.3,1,0,1,0
26332,78,221,121,66,21.3,2.9,6.9,0.424,2.5,5.6,0.442,0.5,1.3,0.424,2.3,3.2,0.721,1.1,0.5,0.4,8.7,1.3,3.1,4.4,1.8,1,0,1,0
26333,82,250,64,63,29.0,4.5,7.8,0.575,4.5,7.8,0.5760000000000001,0.0,0.0,0.575,2.7,4.7,0.564,1.5,1.0,1.2,11.6,2.3,4.7,6.9,2.0,1,1,0,0
26334,79,245,49,24,10.8,1.1,2.7,0.391,0.9,2.5,0.371,0.1,0.2,0.391,0.2,0.3,0.688,0.2,0.3,0.3,2.5,0.7,0.9,1.7,0.4,1,0,1,0
26363,84,240,87,70,27.9,5.2,9.6,0.5479999999999999,5.1,9.3,0.556,0.1,0.3,0.5479999999999999,4.1,5.5,0.7509999999999999,2.0,0.5,1.7,14.7,2.6,5.3,7.9,3.1,1,0,1,0
26377,75,190,138,111,23.7,2.9,6.3,0.454,1.4,2.4,0.56,1.5,3.9,0.454,1.4,2.0,0.73,1.7,1.3,0.2,8.7,0.9,2.2,3.1,1.4,1,0,0,1
26378,74,185,119,108,33.5,2.8,5.6,0.501,1.9,3.1,0.629,0.9,2.5,0.501,1.7,2.3,0.7120000000000001,3.6,1.2,0.0,8.2,0.6,3.6,4.3,2.4,1,0,0,1
26392,80,245,104,3,8.5,0.6,1.5,0.422,0.6,1.4,0.434,0.0,0.1,0.422,0.4,0.6,0.609,0.1,0.1,0.1,1.7,0.7,1.4,2.1,0.5,1,0,1,0
26461,79,266,94,38,20.0,2.4,5.0,0.483,2.4,4.8,0.493,0.0,0.2,0.483,1.5,2.6,0.581,0.8,0.5,0.3,6.4,1.4,2.8,4.2,1.5,1,0,1,0
26462,74,190,20,0,6.2,0.5,1.1,0.409,0.3,0.6,0.5,0.2,0.5,0.409,0.3,0.7,0.429,0.3,0.2,0.0,1.4,0.2,0.2,0.4,0.2,1,0,0,1
26463,77,185,21,0,3.1,0.2,0.6,0.333,0.2,0.5,0.4,0.0,0.1,0.333,0.1,0.6,0.16699999999999998,0.3,0.0,0.0,0.5,0.2,0.5,0.7,0.6,1,0,1,0
26464,78,225,139,86,29.4,4.4,9.7,0.448,3.2,6.6,0.489,1.1,3.2,0.448,3.0,3.8,0.775,1.8,1.1,0.4,12.8,1.4,4.2,5.6,2.0,1,0,1,0
26465,71,180,62,60,32.6,5.3,13.4,0.397,3.8,8.6,0.4370000000000001,1.6,4.8,0.397,3.4,4.0,0.8370000000000001,4.2,1.3,0.0,15.6,0.4,2.0,2.4,2.0,1,0,0,1
26466,74,170,10,0,5.0,0.3,1.1,0.273,0.3,1.0,0.3,0.0,0.1,0.273,0.2,0.3,0.667,0.4,0.3,0.1,0.8,0.0,1.0,0.6,0.0,1,0,0,1
26467,80,220,16,0,2.9,0.3,0.8,0.308,0.3,0.8,0.308,0.0,0.0,0.308,0.1,0.3,0.25,0.2,0.1,0.0,0.6,0.2,0.5,0.7,0.2,1,0,1,0
26477,74,185,143,97,26.9,4.7,10.4,0.448,3.5,7.3,0.482,1.2,3.2,0.448,2.9,3.6,0.8,2.8,1.0,0.1,13.4,0.8,2.0,2.8,2.0,1,0,0,1
26510,72,165,133,80,24.3,4.7,11.3,0.413,3.3,7.4,0.449,1.4,3.9,0.413,3.7,4.8,0.76,2.8,1.9,0.1,14.3,0.7,2.0,2.7,2.4,1,0,0,1
26532,80,235,107,106,35.9,6.6,14.3,0.463,5.5,11.0,0.504,1.1,3.3,0.463,3.9,4.9,0.794,1.7,1.2,0.7,18.1,2.4,5.7,8.1,3.3,1,0,1,0
26606,79,200,104,76,24.8,3.0,7.1,0.421,1.4,2.9,0.48,1.6,4.2,0.421,1.6,1.9,0.821,2.0,0.5,0.3,9.2,0.4,2.0,2.4,1.5,1,0,0,1
26625,78,225,84,74,30.8,5.7,13.3,0.426,4.4,9.3,0.477,1.3,4.1,0.426,4.1,6.0,0.677,2.7,0.9,0.8,16.7,2.3,4.1,6.4,3.1,1,0,0,1
26714,80,215,112,13,18.7,2.9,6.5,0.449,1.5,2.8,0.5529999999999999,1.4,3.7,0.449,0.7,0.9,0.74,0.6,0.9,0.8,7.9,0.8,2.5,3.3,0.6,1,0,1,0
26722,82,250,72,70,32.4,5.3,11.3,0.468,5.0,10.4,0.484,0.3,0.9,0.468,4.9,7.3,0.667,0.8,1.4,0.8,15.8,2.8,6.2,9.1,2.6,1,0,1,0
26776,82,245,69,36,15.4,4.0,6.2,0.633,4.0,6.2,0.633,0.0,0.0,0.633,1.6,2.3,0.688,0.5,0.3,0.9,9.5,1.9,3.6,5.4,1.1,1,1,0,0
26989,78,205,75,69,32.9,4.3,9.2,0.467,2.0,4.0,0.5,2.3,5.2,0.467,3.2,3.9,0.8320000000000001,2.3,0.6,0.3,14.1,0.5,2.5,2.9,1.5,1,0,0,1
27049,77,188,129,35,13.2,1.6,2.6,0.627,1.5,2.2,0.669,0.1,0.4,0.627,0.6,1.0,0.633,0.3,0.5,1.2,4.0,1.2,2.1,3.4,0.4,1,0,1,0
27075,77,210,34,32,28.2,4.8,10.8,0.44,4.3,8.7,0.495,0.5,2.1,0.44,2.3,3.5,0.664,2.5,0.9,0.2,12.3,1.9,3.5,5.4,2.4,1,0,1,0
27077,81,235,137,60,19.1,2.4,4.7,0.52,2.4,4.7,0.52,0.0,0.0,0.52,1.0,2.1,0.4970000000000001,0.2,0.2,0.9,5.9,2.2,3.4,5.6,1.1,1,0,1,0
27182,83,260,95,7,10.0,1.1,2.0,0.545,1.1,2.0,0.5529999999999999,0.0,0.0,0.545,0.5,0.6,0.759,0.8,0.2,1.0,2.7,0.7,1.6,2.3,0.7,1,1,0,0
27217,71,165,138,39,19.9,1.6,3.8,0.424,1.1,2.2,0.515,0.5,1.7,0.424,1.1,1.5,0.7,3.1,1.2,0.1,4.8,0.1,1.5,1.6,1.5,1,0,0,1
27233,80,260,87,84,29.7,4.7,8.9,0.53,4.7,8.9,0.532,0.0,0.0,0.53,3.5,5.6,0.628,1.5,0.7,1.1,13.0,3.9,5.7,9.6,2.1,1,0,1,0
27249,83,255,35,22,23.1,4.8,8.4,0.568,4.8,8.4,0.568,0.0,0.0,0.568,2.9,3.8,0.7609999999999999,0.4,0.5,1.6,12.5,2.2,3.2,5.4,1.5,1,1,0,0
27251,79,200,138,129,30.9,1.8,4.3,0.425,1.5,2.9,0.504,0.4,1.4,0.425,1.8,2.9,0.617,5.2,1.5,0.4,5.8,0.7,4.8,5.5,1.9,1,0,0,1
27277,73,179,129,117,29.8,4.8,10.1,0.471,2.1,4.3,0.488,2.7,5.8,0.471,3.0,3.5,0.87,2.0,0.8,0.1,15.2,0.4,1.8,2.2,2.0,1,0,0,1
27313,77,201,111,72,26.9,3.6,7.8,0.461,3.0,5.9,0.503,0.6,1.9,0.461,2.3,3.7,0.64,2.9,1.8,0.4,10.1,1.0,2.3,3.3,2.2,1,0,0,1
27368,77,205,59,59,33.1,8.1,17.1,0.472,6.4,11.9,0.54,1.7,5.2,0.472,6.5,8.1,0.8059999999999999,4.8,2.3,0.3,24.4,1.1,3.6,4.7,3.5,1,0,0,1
27421,81,265,74,72,31.0,6.1,11.5,0.53,5.8,10.8,0.541,0.3,0.7,0.53,4.9,6.7,0.733,1.2,1.1,0.8,17.3,3.3,6.4,9.7,1.8,1,0,1,0
27456,80,236,101,98,27.6,3.6,8.3,0.439,2.2,4.2,0.522,1.4,4.1,0.439,2.5,3.4,0.727,1.3,1.0,0.6,11.2,1.3,3.1,4.4,2.2,1,0,1,0
27533,81,260,69,69,29.2,5.1,10.2,0.501,4.2,7.9,0.537,0.9,2.3,0.501,3.3,4.4,0.76,2.4,0.4,0.5,14.4,2.2,8.2,10.4,3.0,1,0,1,0
27552,80,275,96,95,29.0,6.3,11.6,0.544,6.3,11.6,0.546,0.0,0.0,0.544,5.6,7.7,0.727,1.8,1.1,1.9,18.2,3.6,5.6,9.2,2.5,1,0,1,0
27625,82,260,65,53,26.0,4.9,8.7,0.569,4.9,8.7,0.569,0.0,0.0,0.569,2.1,3.7,0.564,1.1,0.4,1.7,12.0,3.1,4.4,7.5,1.4,1,0,1,0
27725,80,205,29,27,33.3,5.7,12.6,0.452,4.3,8.6,0.504,1.4,4.0,0.452,4.1,4.8,0.8490000000000001,2.1,1.3,1.1,16.8,1.3,6.0,7.3,2.6,1,0,1,0
27775,78,180,65,40,23.2,4.1,8.7,0.473,3.2,5.9,0.535,1.0,2.8,0.473,2.4,3.3,0.732,2.4,1.8,0.4,11.6,1.1,2.6,3.7,2.3,1,0,0,1
27786,73,170,92,92,30.8,4.5,11.1,0.404,4.1,9.8,0.419,0.4,1.3,0.404,4.3,5.4,0.792,4.5,1.0,0.1,13.6,0.4,2.7,3.1,2.3,1,0,0,1
27787,76,190,33,0,15.5,1.8,4.7,0.39,0.8,1.5,0.51,1.1,3.2,0.39,1.2,1.6,0.769,0.5,0.3,0.2,5.9,0.4,1.1,1.5,1.3,1,0,0,1
27793,79,225,134,133,29.3,5.0,10.3,0.483,4.1,7.9,0.52,0.9,2.4,0.483,3.4,4.9,0.693,1.9,1.1,0.4,14.2,2.1,3.5,5.6,2.3,1,0,1,0
27795,76,205,122,60,25.8,5.8,12.5,0.466,3.8,7.0,0.536,2.1,5.5,0.466,2.5,3.3,0.764,1.4,0.9,0.4,16.2,1.5,2.3,3.9,2.2,1,0,0,1
27825,74,165,31,30,35.0,5.3,14.2,0.376,2.8,7.3,0.391,2.5,6.9,0.376,2.8,4.2,0.682,4.5,1.1,0.1,16.0,0.7,3.4,4.1,5.4,1,0,0,1
27826,74,180,53,0,9.5,0.6,1.9,0.333,0.2,0.8,0.289,0.4,1.1,0.333,0.2,0.3,0.8,0.3,0.3,0.0,1.9,0.4,1.0,1.4,0.4,1,0,0,1
27872,75,185,146,126,27.7,3.8,7.9,0.477,3.0,5.7,0.518,0.8,2.2,0.477,2.5,3.5,0.708,3.9,1.2,0.2,10.8,0.3,1.9,2.2,2.6,1,0,0,1
27891,74,180,61,52,30.9,5.2,11.2,0.462,3.9,8.2,0.477,1.3,3.0,0.462,4.8,5.9,0.812,3.0,1.9,0.6,16.4,0.5,2.5,3.0,3.0,1,0,0,1
27893,74,189,40,40,32.6,3.6,8.8,0.412,3.0,6.8,0.438,0.7,2.0,0.412,2.1,3.0,0.7140000000000001,4.8,0.9,0.3,10.0,0.4,2.1,2.5,2.7,1,0,0,1
27922,78,190,134,131,33.1,2.2,5.9,0.371,1.3,2.9,0.47,0.8,3.0,0.371,1.5,1.9,0.7829999999999999,3.6,1.4,0.8,6.7,0.8,2.9,3.7,2.2,1,0,0,1
27960,87,263,100,99,29.3,3.6,5.9,0.611,3.6,5.9,0.611,0.0,0.0,0.611,3.1,5.0,0.625,0.4,0.4,4.2,10.3,3.0,5.4,8.5,1.8,1,1,0,0
28002,79,240,55,44,27.5,4.1,9.5,0.426,3.3,7.2,0.458,0.7,2.3,0.426,1.9,2.5,0.745,1.5,0.6,0.7,10.7,1.3,2.8,4.0,1.5,1,0,1,0
28074,68,185,105,104,30.4,5.3,12.4,0.426,3.7,7.6,0.49,1.6,4.8,0.426,4.3,6.0,0.713,4.0,1.2,0.1,16.4,0.7,2.8,3.5,2.7,1,0,0,1
28075,81,220,110,40,11.8,1.4,2.5,0.545,1.4,2.5,0.545,0.0,0.0,0.545,0.5,0.9,0.5770000000000001,0.1,0.1,0.6,3.3,1.0,1.8,2.8,0.6,1,0,1,0
28082,79,210,68,63,27.3,3.3,6.8,0.49,3.3,6.8,0.491,0.0,0.0,0.49,2.4,3.9,0.608,0.9,0.5,0.1,9.1,2.4,2.4,4.7,1.4,1,0,1,0
28083,80,235,134,96,21.6,3.0,6.0,0.508,3.0,6.0,0.508,0.0,0.0,0.508,2.5,4.2,0.603,0.4,0.5,0.8,8.6,3.0,5.0,8.0,1.4,1,1,0,0
28117,81,225,140,101,19.7,1.7,3.2,0.525,1.7,3.2,0.525,0.0,0.0,0.525,1.3,2.1,0.6,0.5,0.6,0.2,4.6,1.8,1.8,3.6,1.2,1,0,1,0
28118,80,224,12,0,4.2,0.8,1.2,0.643,0.6,0.6,1.0,0.2,0.6,0.643,0.5,0.7,0.75,0.0,0.2,0.2,2.2,0.3,1.0,1.3,0.3,1,0,1,0
28123,78,185,39,29,26.5,3.8,9.9,0.387,2.6,6.6,0.39,1.3,3.3,0.387,1.8,2.4,0.772,0.7,1.1,0.3,10.8,1.4,2.7,4.1,1.7,1,0,1,0
28124,81,220,103,98,30.6,4.3,8.2,0.53,4.3,8.0,0.536,0.0,0.2,0.53,2.9,5.0,0.58,2.0,0.7,1.9,11.6,2.9,5.3,8.2,2.3,1,0,1,0
28193,82,245,89,81,29.5,6.0,12.8,0.469,5.1,10.3,0.496,0.9,2.5,0.469,2.8,3.8,0.7290000000000001,1.4,1.0,1.3,15.7,2.0,5.8,7.8,2.6,1,0,1,0
28230,79,195,117,72,27.8,4.6,10.0,0.464,3.5,6.8,0.51,1.1,3.1,0.464,2.1,2.7,0.7809999999999999,2.0,1.1,0.3,12.5,1.4,3.3,4.7,2.4,1,0,0,1
28238,80,212,99,57,24.6,3.1,6.5,0.478,1.8,3.6,0.508,1.3,2.9,0.478,1.2,1.7,0.6759999999999999,1.1,0.8,0.4,8.7,1.1,3.0,4.1,1.1,1,0,1,0
28243,83,250,122,112,32.1,6.2,11.8,0.526,6.0,11.0,0.544,0.2,0.8,0.526,4.0,6.0,0.667,2.0,0.9,1.9,16.7,3.0,6.6,9.6,2.6,1,1,0,0
28244,78,210,48,0,6.3,0.3,1.1,0.29100000000000004,0.3,1.0,0.32,0.0,0.1,0.29100000000000004,0.2,0.4,0.5,0.1,0.1,0.1,0.9,0.5,0.7,1.2,0.5,1,0,1,0
28245,81,215,52,22,16.1,2.6,5.6,0.469,2.6,5.6,0.471,0.0,0.0,0.469,0.5,1.3,0.415,0.4,0.5,0.6,5.8,1.3,2.7,4.0,1.0,1,1,0,0
28258,78,200,98,96,34.4,6.1,14.4,0.424,3.6,8.1,0.45,2.5,6.3,0.424,3.2,3.9,0.8270000000000001,2.6,1.3,0.8,17.9,0.9,3.9,4.8,2.9,1,0,0,1
28272,79,210,128,114,29.1,3.8,10.7,0.35700000000000004,2.3,6.1,0.38,1.5,4.6,0.35700000000000004,1.9,2.5,0.76,1.6,1.1,0.6,11.0,1.3,3.0,4.3,1.7,1,0,1,0
28298,77,193,128,99,25.5,3.6,8.2,0.439,2.2,4.6,0.472,1.4,3.6,0.439,4.1,5.0,0.816,1.3,0.6,0.1,12.7,0.6,2.1,2.8,1.7,1,0,0,1
28299,80,225,36,34,30.7,4.8,8.8,0.546,4.8,8.8,0.546,0.0,0.0,0.546,3.5,7.3,0.487,1.3,0.9,2.4,13.1,3.8,4.0,7.8,1.8,1,0,1,0
28318,80,220,124,69,22.0,4.4,8.3,0.528,3.9,7.2,0.5429999999999999,0.5,1.2,0.528,3.0,4.2,0.701,0.7,0.8,0.6,12.3,2.1,3.1,5.2,1.7,1,0,0,1
28331,76,205,66,65,32.7,7.1,15.6,0.455,4.5,8.9,0.51,2.5,6.7,0.455,3.7,4.8,0.7709999999999999,1.8,1.5,0.3,20.4,2.0,3.5,5.5,2.0,1,0,0,1
28332,80,235,133,88,21.7,2.2,5.2,0.421,2.0,4.6,0.436,0.2,0.5,0.421,1.7,2.7,0.637,0.7,0.5,0.9,6.2,1.6,3.4,5.0,1.2,1,0,1,0
28333,76,190,127,107,34.1,5.6,13.0,0.43,3.0,6.6,0.457,2.6,6.4,0.43,3.4,4.3,0.789,2.4,0.7,0.2,17.1,0.3,2.2,2.6,2.6,1,0,0,1
28344,77,215,132,132,31.8,4.5,11.5,0.392,3.2,7.5,0.42,1.4,4.0,0.392,4.3,5.6,0.7709999999999999,3.0,1.5,0.6,14.7,1.6,3.6,5.2,2.5,1,0,0,1
28448,83,253,138,48,16.3,2.9,5.4,0.531,2.8,5.3,0.537,0.0,0.1,0.531,1.0,1.5,0.7040000000000001,0.4,0.2,0.7,6.8,1.6,2.4,4.0,0.8,1,0,1,0
28488,80,240,124,93,21.5,2.9,5.8,0.491,2.7,5.3,0.506,0.2,0.5,0.491,2.2,3.3,0.6709999999999999,1.1,0.6,1.1,8.1,1.8,3.1,4.9,1.4,1,1,0,0
