,name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers
0,Menghe a'Nyam,6-5,215,Forward,41,19,13.3,0.9,2.1,.414,0.9,2.0,.429,0.0,0.1,.414,0.7,1.2,.529,0.1,0.4,0.3,2.4,1.3,1.7,3.0,1.0
1,Jordan Aaberg,6-9,225,Forward,115,16,11.2,1.5,2.3,.619,1.5,2.3,.619,0.0,0.0,.619,0.6,0.7,.788,0.2,0.2,0.8,3.5,0.7,1.6,2.3,0.6
2,Karl Aaker,6-5,210,Forward,92,29,16.4,1.4,4.0,.346,0.4,1.2,.360,0.9,2.8,.346,0.4,0.6,.611,0.6,0.4,0.2,4.1,0.6,1.4,2.0,0.8
3,Mike Aaman,6-8,210,Forward,107,55,19.0,3.1,6.5,.473,3.1,6.5,.474,0.0,0.0,.473,1.8,2.8,.641,0.4,0.5,0.7,7.9,2.5,3.2,5.7,1.2
4,Carlton Aaron,6-9,322,Center,86,72,24.5,4.3,7.8,.544,4.3,7.8,.544,0.0,0.0,.544,2.0,4.1,.482,0.3,0.6,0.6,10.5,3.1,4.3,7.3,1.5
5,Jordan Aaron,5-10,160,Guard,63,60,34.3,4.6,12.3,.373,2.4,6.0,.402,2.1,6.2,.373,3.3,3.9,.838,3.3,1.2,0.1,14.6,0.4,2.9,3.3,3.0
6,Shaddean Aaron,6-5,195,Guard,105,42,24.7,3.9,8.4,.459,3.0,5.9,.516,0.8,2.6,.459,2.0,2.7,.745,1.2,0.9,0.6,10.6,1.3,1.9,4.0,1.2
7,Shaqquan Aaron,6-7,195,Guard,127,65,18.8,2.1,5.0,.417,1.3,2.8,.483,0.7,2.2,.417,0.8,1.3,.624,1.2,0.4,0.2,5.7,0.6,2.1,2.7,1.0
8,Troy Aaron,6-1,190,Guard,91,64,21.9,2.4,6.1,.387,1.7,4.1,.422,0.6,2.0,.387,1.2,1.9,.642,1.9,0.7,0.1,6.6,0.9,1.7,2.6,2.1
9,Joe Aase,6-8,220,Forward,24,0,6.3,0.3,1.0,.333,0.2,0.5,.385,0.1,0.5,.333,0.0,0.1,.500,0.2,0.1,0.1,0.8,0.1,0.8,1.0,0.2
10,Brian Abadie,5-11,175,Guard,1,0,1.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Ronell Abaekobe,6-6,210,Guard,7,0,1.4,0.1,0.1,1.000,0.1,0.1,1.000,0.0,0.0,1.000,0.3,0.6,.500,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
12,Kwesi Abakah,6-8,212,Forward,109,11,7.6,0.3,0.8,.422,0.3,0.8,.422,0.0,0.0,.422,0.3,0.6,.429,0.3,0.1,0.2,0.9,0.5,0.8,1.3,0.3
13,Kevin Abanobi,6-6,215,Forward,58,22,14.1,1.1,3.0,.382,0.9,1.8,.490,0.3,1.2,.382,0.8,1.3,.671,0.3,0.3,0.4,3.4,0.7,1.3,2.0,0.7
14,Malik Abbott,6-3,190,Guard,4,0,1.8,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.3,0.0,0.0,0.0,0.3,0.8,1.0,0.3
15,Matthew Abbott,6-6,220,Forward,3,0,1.7,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0
16,Ty Abbott,6-3,207,Guard,130,119,30.9,3.5,8.8,.399,1.4,2.9,.475,2.1,5.8,.399,1.1,1.6,.700,1.8,1.0,0.4,10.2,0.6,3.3,3.9,1.5
17,Huthifah Abdel Jawad,6-0,160,Guard,10,0,1.4,0.0,0.2,.000,0.0,0.2,.000,0.0,0.0,.000,0.1,0.2,.500,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1
18,Mostafa Abdel Latif,6-8,230,Forward,56,18,15.2,1.5,3.0,.482,1.5,3.0,.482,0.0,0.0,.482,0.5,0.8,.587,0.2,0.2,0.5,3.4,1.6,2.8,4.4,0.7
19,Salah Abdo,6-2,188,Guard,5,0,2.2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.4,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Akbar Abdul-Ahad,6-0,175,Guard,57,31,28.6,2.8,7.2,.384,0.9,2.2,.383,1.9,5.0,.384,2.3,2.9,.798,3.6,1.1,0.0,9.7,0.2,2.2,2.4,2.1
21,Muhammad Abdul-Aleem,6-4,210,Guard,50,3,17.7,2.5,6.9,.369,2.0,5.0,.403,0.5,1.9,.369,1.7,2.7,.632,1.0,0.9,0.1,7.3,0.9,2.6,3.5,1.9
22,Musa Abdul-Aleem,6-5,220,Guard,55,23,20.7,3.4,8.4,.400,1.7,3.4,.487,1.7,5.0,.400,1.6,2.1,.779,0.6,0.8,0.1,10.0,0.6,2.6,3.2,1.2
23,Jalil Abdul-Bassit,6-4,187,Guard,52,19,15.5,2.1,5.0,.421,0.8,2.1,.411,1.3,3.0,.421,0.7,0.9,.739,0.6,0.5,0.2,6.2,0.4,1.0,1.3,0.8
24,Ahmad Abdullah,6-0,175,Guard,85,52,25.8,2.2,5.8,.382,1.4,3.7,.395,0.8,2.1,.382,1.3,1.7,.764,2.3,0.6,0.0,6.5,0.4,2.0,2.4,1.5
25,Bilal Abdullah,6-5,200,Guard,116,80,28.8,3.3,7.6,.431,1.9,3.9,.490,1.4,3.7,.431,2.9,3.8,.764,2.5,1.1,0.4,10.8,0.9,2.7,3.6,3.0
26,Hasan Abdullah,6-0,195,Guard,102,90,26.9,3.1,8.3,.377,1.9,4.4,.427,1.3,4.0,.377,1.2,1.9,.631,3.4,1.8,0.1,8.8,0.4,2.5,3.0,2.7
27,Mohammed Abdulsalam,6-9,255,Forward,32,1,5.3,0.4,0.8,.500,0.4,0.8,.500,0.0,0.0,.500,0.1,0.2,.429,0.1,0.2,0.0,0.8,0.7,0.7,1.3,0.1
28,Jordan Abdur-Ra'oof,6-7,205,Forward,68,26,11.5,1.0,2.9,.335,0.6,1.5,.390,0.4,1.4,.335,0.3,0.6,.513,0.4,0.4,0.2,2.6,0.4,1.3,1.7,0.4
29,Amir Abdur-Rahim,6-3,195,Guard,83,74,31.8,5.0,13.8,.364,2.7,6.6,.406,2.3,7.2,.364,3.1,4.1,.751,2.1,1.4,0.1,15.4,0.7,2.6,3.3,2.2
30,Bilal Abdur-Rahim,6-7,200,Guard,26,1,12.0,1.8,3.3,.535,1.7,3.0,.558,0.1,0.3,.535,0.9,1.7,.558,0.9,0.5,0.0,4.6,0.9,1.7,2.6,0.8
31,Muhammad Abdur-Rahim,6-4,210,Guard,104,52,12.0,0.7,1.8,.385,0.5,1.0,.486,0.2,0.8,.385,0.5,0.8,.608,0.8,0.4,0.1,2.0,0.8,0.9,1.7,0.5
32,Muhammad-Ali Abdur-Rahkman,6-4,175,Guard,144,116,28.8,3.2,7.3,.444,2.1,4.3,.499,1.1,3.0,.444,1.5,2.0,.754,2.0,0.8,0.1,9.1,0.6,2.3,2.8,0.9
33,Toso Abedamowo,6-5,190,Guard,7,0,1.9,0.1,0.4,.333,0.0,0.0,,0.1,0.4,.333,0.1,0.3,.500,0.0,0.3,0.0,0.6,0.0,0.1,0.1,0.1
34,Martins Abele,7-1,295,Center,49,14,11.4,1.4,2.8,.504,1.4,2.8,.504,0.0,0.0,.504,0.8,1.3,.578,0.1,0.2,0.8,3.6,1.3,2.1,3.4,1.3
35,Remy Abell,6-4,195,Guard,139,68,18.5,1.8,4.0,.452,1.2,2.4,.486,0.6,1.6,.452,1.3,1.7,.754,1.0,0.4,0.0,5.5,0.4,1.1,1.5,0.8
36,Ray Abellard,5-10,156,Guard,60,45,29.0,4.5,10.0,.446,1.7,3.5,.476,2.8,6.5,.446,3.0,3.8,.789,3.0,1.4,0.0,14.7,0.4,2.2,2.6,2.9
37,Brent Abendroth,6-4,175,Guard,9,0,1.2,0.0,0.4,.000,0.0,0.2,.000,0.0,0.2,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2
38,Thomas Abercrombie,6-6,191,Guard,12,0,7.3,0.4,1.6,.263,0.3,0.7,.375,0.2,0.9,.263,0.2,0.4,.400,0.5,0.2,0.3,1.2,0.4,1.1,1.5,0.3
39,Todd Abernethy,6-1,190,Guard,122,101,29.0,3.1,7.2,.431,1.8,3.8,.475,1.3,3.4,.431,1.0,1.5,.696,3.5,0.9,0.1,8.5,0.4,2.1,2.5,1.6
40,Onyekawtuke Abiakam,6-7,195,Center,58,12,14.1,1.3,2.6,.497,1.3,2.6,.497,0.0,0.0,.497,0.4,0.8,.468,0.3,0.3,1.1,2.9,1.1,2.2,3.2,0.7
41,Kazembe Abif,6-7,215,Forward,93,48,22.4,2.2,4.5,.476,2.1,4.4,.489,0.0,0.2,.476,1.6,2.4,.655,0.5,0.4,0.3,5.9,1.5,3.2,4.7,0.9
42,Otoja Abit,6-6,195,Forward,15,0,1.2,0.1,0.1,.500,0.1,0.1,.500,0.0,0.0,.500,0.0,0.0,,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.0
43,L.B. Abney,6-0,185,Guard,22,2,14.7,2.0,4.3,.479,1.3,2.2,.604,0.7,2.1,.479,1.0,1.6,.657,0.8,0.8,0.0,5.9,0.4,1.5,1.9,0.5
44,Wandji Aboubakar,6-7,245,Forward,21,0,9.6,0.4,0.8,.529,0.4,0.8,.529,0.0,0.0,.529,0.2,0.5,.500,0.1,0.1,0.3,1.1,0.5,0.8,1.3,0.4
45,Charles Abouo,6-5,215,Guard,141,60,17.9,2.1,4.9,.433,1.5,3.2,.477,0.6,1.7,.433,1.6,2.2,.725,1.2,0.7,0.2,6.5,1.3,2.8,4.0,1.1
46,Alfred Aboya,6-9,245,Forward,142,55,18.6,2.0,3.6,.541,2.0,3.6,.544,0.0,0.0,.541,1.1,1.9,.607,0.4,0.6,0.2,5.1,1.6,2.1,3.7,0.8
47,Dennard Abraham,6-9,245,Forward,58,56,32.8,4.8,10.4,.463,4.3,8.3,.516,0.5,2.1,.463,1.4,2.8,.522,0.9,0.5,0.4,11.6,1.7,4.6,6.3,1.4
48,Karon Abraham,5-9,150,Guard,58,44,26.9,3.9,9.3,.419,1.4,3.6,.396,2.5,5.7,.419,3.4,4.1,.851,1.4,0.9,0.2,13.7,0.6,1.7,2.3,1.9
49,Ryann Abraham,5-10,185,Guard,119,30,16.9,1.9,4.4,.440,1.0,2.1,.486,0.9,2.3,.440,1.2,1.6,.725,2.0,1.0,0.1,5.9,0.2,1.1,1.3,1.7
50,Trevan Abraham,5-9,173,Guard,30,11,9.4,0.4,1.5,.239,0.3,0.8,.333,0.1,0.7,.239,0.3,0.3,.900,1.2,0.2,0.0,1.1,0.1,0.6,0.7,0.5
51,Albert Abrahams,6-9,320,Center,59,15,15.5,2.7,5.2,.516,2.7,5.2,.516,0.0,0.0,.516,1.1,1.9,.570,0.4,0.3,0.5,6.4,1.5,2.6,4.1,1.1
52,Kale Abrahamson,6-8,221,Forward,118,54,18.0,2.0,5.3,.376,0.9,2.0,.440,1.1,3.3,.376,1.0,1.6,.620,0.5,0.2,0.1,6.1,0.5,1.8,2.3,0.8
53,Junior Abrahao,6-6,220,Forward,42,1,7.4,0.7,1.9,.380,0.5,1.3,.426,0.2,0.6,.380,0.3,0.6,.481,0.2,0.1,0.2,1.9,0.4,0.9,1.3,0.4
54,DeAndre Abram,6-8,205,Guard,72,42,24.2,3.1,8.4,.371,1.8,4.1,.443,1.3,4.3,.371,1.1,1.4,.738,0.6,0.4,0.5,8.6,0.9,3.6,4.5,1.0
55,Lester Abram,6-6,200,Forward,120,106,29.3,3.5,7.3,.471,2.6,5.1,.517,0.8,2.3,.471,2.9,3.5,.829,1.5,1.0,0.3,10.6,1.0,3.0,4.0,1.7
56,Aleks Abrams,6-8,250,Forward,110,21,10.5,0.6,1.4,.399,0.6,1.4,.399,0.0,0.0,.399,0.5,0.8,.619,0.2,0.1,0.5,1.6,1.6,1.8,3.4,0.5
57,Byron Abrams,6-3,185,Guard,3,0,3.0,0.0,0.7,.000,0.0,0.0,,0.0,0.7,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Jamar Abrams,6-6,205,Guard,124,88,24.5,3.2,6.9,.459,1.8,3.3,.535,1.4,3.6,.459,1.2,1.5,.766,0.6,0.7,0.4,9.0,1.3,2.8,4.1,1.4
59,Tracy Abrams,6-2,185,Guard,138,115,26.1,2.9,7.5,.383,2.0,4.7,.425,0.9,2.8,.383,2.0,2.7,.737,2.7,1.0,0.1,8.6,0.5,2.5,3.1,1.8
60,Alex Abreu,5-11,175,Guard,96,74,26.4,2.7,6.5,.415,1.4,3.2,.429,1.3,3.3,.415,2.0,2.5,.791,4.7,1.4,0.1,8.7,0.6,1.7,2.3,2.6
61,Alvin Abreu,6-2,195,Guard,117,102,32.9,4.5,12.1,.371,2.7,6.6,.406,1.8,5.6,.371,2.5,3.4,.747,1.9,0.9,0.2,13.4,0.9,2.5,3.4,2.3
62,Jason Abromaitis,6-7,215,Forward,55,0,8.0,0.6,1.6,.360,0.5,1.0,.481,0.1,0.6,.360,0.4,0.6,.606,0.5,0.2,0.1,1.6,0.7,1.5,2.1,0.7
63,Tim Abromaitis,6-8,236,Forward,83,62,28.7,4.4,9.5,.465,2.5,4.8,.517,1.9,4.7,.465,2.9,3.5,.834,1.5,0.5,0.3,13.7,1.1,3.7,4.8,1.3
64,Devonta Abron,6-8,255,Forward,118,42,14.7,1.7,3.7,.464,1.7,3.7,.465,0.0,0.0,.464,1.8,3.0,.613,0.4,0.6,0.4,5.3,1.8,2.3,4.1,0.9
65,Tim Abruzzo,6-3,173,Guard,67,6,16.5,1.9,5.4,.341,0.8,1.7,.461,1.1,3.7,.341,0.7,1.0,.697,0.8,0.8,0.2,5.4,0.6,2.2,2.8,0.7
66,Drew Absher,5-10,170,Guard,42,1,4.2,0.4,1.1,.340,0.2,0.4,.467,0.2,0.8,.340,0.3,0.4,.765,0.4,0.0,0.0,1.3,0.0,0.4,0.4,0.4
67,Taylor Abt,6-8,225,Forward,113,28,12.0,1.0,2.0,.481,0.8,1.5,.554,0.2,0.6,.481,0.3,0.6,.429,0.1,0.2,0.4,2.4,1.0,1.4,2.3,0.6
68,Abdul-Malik Abu,6-8,235,Forward,128,100,22.9,3.6,7.3,.495,3.6,7.1,.503,0.0,0.1,.495,1.9,3.1,.628,0.9,0.3,0.6,9.2,2.3,3.8,6.1,1.4
69,Jamal Abu-Shamala,6-5,210,Guard,128,62,16.0,1.6,3.7,.433,0.8,1.6,.473,0.8,2.1,.433,0.6,0.8,.762,0.7,0.3,0.1,4.6,0.5,1.6,2.1,0.9
70,Mohamed Abuarisha,6-7,200,Guard,20,0,3.4,0.4,1.2,.292,0.2,0.6,.333,0.2,0.6,.292,0.0,0.1,.000,0.2,0.1,0.0,0.9,0.1,0.4,0.5,0.5
71,Mohamed Abukar,6-10,216,Forward,91,51,24.2,3.8,8.2,.461,3.2,6.4,.509,0.5,1.9,.461,2.1,2.6,.816,1.1,0.5,0.5,10.3,1.2,2.8,4.0,1.5
72,Joey Accaoui,5-8,165,Guard,126,19,19.3,2.4,5.7,.420,1.4,2.8,.482,1.0,2.9,.420,0.8,1.1,.799,1.3,0.4,0.0,6.7,0.2,1.0,1.3,1.1
73,Jared Accettura,5-11,160,Guard,13,1,0.9,0.1,0.5,.143,0.1,0.2,.333,0.0,0.3,.143,0.0,0.0,,0.1,0.1,0.0,0.2,0.2,0.2,0.3,0.2
74,Kristopher Acevedo,6-0,185,Guard,5,0,1.6,0.4,1.0,.400,0.4,0.6,.667,0.0,0.4,.400,0.0,0.0,,0.0,0.0,0.0,0.8,0.0,0.2,0.2,0.0
75,Kieron Achara,6-10,240,Forward,115,69,22.7,3.7,7.0,.524,3.3,5.9,.563,0.3,1.1,.524,3.1,4.0,.772,0.9,0.6,1.6,10.8,2.0,3.2,5.3,1.7
76,God'sgift Achiuwa,6-8,230,Forward,64,21,19.5,2.2,4.0,.541,2.1,3.9,.552,0.0,0.1,.541,1.6,2.6,.611,0.2,0.3,0.8,5.9,1.9,2.1,4.0,1.0
77,Alex Acker,6-5,185,Guard,88,80,34.4,5.1,11.2,.457,3.7,7.9,.476,1.4,3.3,.457,2.9,3.5,.823,2.8,1.5,0.4,14.5,1.5,4.1,5.6,2.6
78,Jarvis Acker,6-7,210,Forward,95,36,17.3,1.6,4.2,.371,1.1,2.6,.420,0.5,1.7,.371,0.4,0.7,.537,0.4,0.7,0.8,4.0,1.0,2.0,3.0,0.6
79,Maurice Acker,5-8,165,Guard,130,54,22.2,2.0,5.2,.383,1.0,2.7,.384,1.0,2.5,.383,1.3,1.7,.767,2.9,1.0,0.0,6.2,0.3,1.3,1.6,1.4
80,Patrick Ackerman,6-10,218,Center,56,8,7.3,0.5,1.0,.448,0.5,1.0,.448,0.0,0.0,.448,0.1,0.1,.625,0.0,0.1,0.3,1.0,0.1,0.7,0.8,0.3
81,Nikko Acosta,6-8,220,Forward,79,16,8.7,0.6,1.5,.383,0.6,1.5,.383,0.0,0.0,.383,0.5,0.9,.543,0.3,0.2,0.6,1.6,0.6,0.9,1.5,0.6
82,Shane Acoveno,6-6,200,Forward,15,0,3.1,0.4,0.5,.750,0.3,0.5,.714,0.1,0.1,.750,0.0,0.0,,0.0,0.0,0.1,0.9,0.3,0.2,0.5,0.3
83,Kris Acox,6-6,215,Forward,118,101,25.7,3.8,6.2,.613,3.8,6.2,.614,0.0,0.0,.613,1.3,2.5,.522,0.7,0.8,0.5,8.9,2.6,4.1,6.7,1.5
84,Milan Acquaah,6-3,195,Guard,61,39,24.9,4.0,9.7,.409,2.5,5.5,.455,1.5,4.3,.409,2.6,3.3,.773,2.7,1.1,0.1,12.0,0.4,3.0,3.4,2.8
85,Kobby Acquah,7-1,215,Center,8,0,1.3,0.1,0.3,.500,0.1,0.3,.500,0.0,0.0,.500,0.0,0.5,.000,0.0,0.0,0.0,0.3,0.0,0.4,0.4,0.1
86,Alessandro Acquaviva,6-4,190,Guard,60,4,6.3,0.3,1.0,.283,0.1,0.3,.421,0.2,0.7,.283,0.2,0.3,.625,0.4,0.2,0.0,0.9,0.1,0.2,0.3,0.4
87,Jo Acuil,7-0,210,Forward,68,68,28.5,4.7,8.9,.527,4.5,8.3,.544,0.2,0.7,.527,1.9,3.1,.612,0.6,0.4,2.2,11.5,2.5,5.1,7.6,1.6
88,Quincy Acy,6-7,235,Forward,139,66,25.1,3.6,6.0,.602,3.6,6.0,.604,0.0,0.1,.602,2.5,3.6,.708,0.6,0.7,1.3,9.8,2.2,3.8,6.0,1.5
89,Manny Adako,6-8,254,Forward,126,117,27.1,4.1,7.6,.541,4.1,7.6,.542,0.0,0.1,.541,1.3,1.8,.744,0.8,0.5,0.5,9.6,1.3,2.9,4.3,1.5
90,Arnaud William Adala Moto,6-6,225,Forward,130,93,22.7,3.2,7.4,.428,2.9,6.4,.458,0.3,1.1,.428,3.3,4.7,.696,1.0,0.7,0.2,9.9,1.9,4.2,6.0,1.9
91,Adama Adams,6-1,180,Guard,55,34,26.6,3.0,7.7,.384,2.0,4.7,.430,0.9,3.0,.384,2.3,3.1,.754,2.7,0.7,0.1,9.2,0.4,2.0,2.3,3.0
92,Ako Adams,6-2,170,Guard,98,61,23.0,2.4,6.6,.371,0.9,2.4,.391,1.5,4.2,.371,1.7,2.0,.845,2.3,0.6,0.0,8.0,0.2,1.9,2.1,2.0
93,Andre Adams,6-9,230,Forward-Guard,79,38,15.4,2.1,3.8,.545,2.0,3.4,.585,0.1,0.3,.545,0.9,1.4,.628,0.9,0.6,0.4,5.1,0.8,2.5,3.2,1.5
94,Antonio Adams,6-3,180,Guard,7,0,3.4,0.1,0.6,.250,0.1,0.1,1.000,0.0,0.4,.250,0.0,0.0,,0.0,0.1,0.0,0.3,0.1,0.1,0.3,0.7
95,Austin Adams,6-7,220,Forward,18,0,1.9,0.3,0.9,.313,0.2,0.3,.500,0.1,0.6,.313,0.2,0.3,.500,0.1,0.1,0.1,0.8,0.1,0.4,0.5,0.3
96,Blake Adams,6-6,203,Forward,121,1,12.1,1.3,3.7,.346,0.6,1.6,.390,0.7,2.1,.346,0.6,0.9,.615,0.5,0.4,0.0,3.8,0.6,1.0,1.6,0.8
97,Brandon Adams,6-7,220,Forward,59,22,19.2,2.3,4.6,.500,2.3,4.5,.510,0.0,0.1,.500,1.7,2.6,.660,0.6,0.2,0.3,6.3,1.6,2.4,4.0,1.2
98,Brandon Adams,6-6,226,Forward,106,30,15.8,1.4,3.2,.434,1.4,3.2,.434,0.0,0.0,.434,1.5,2.2,.693,0.4,0.7,0.7,4.3,1.6,1.8,3.4,0.8
99,Brendan Adams,6-4,196,Guard,31,1,12.7,0.8,2.7,.301,0.4,1.0,.406,0.4,1.6,.301,0.6,0.8,.792,0.7,0.2,0.0,2.6,0.4,0.9,1.2,0.4
100,Chad Adams,6-6,190,Guard,128,15,11.3,1.1,2.3,.468,0.8,1.6,.486,0.3,0.7,.468,0.6,0.9,.735,0.5,0.4,0.1,3.1,0.5,1.4,1.9,0.5
101,Chase Adams,5-10,190,Guard,118,0,10.6,2.4,5.8,.418,1.3,2.9,.459,1.1,2.9,.418,1.9,2.5,.737,3.4,1.8,0.0,7.8,0.0,0.4,2.9,1.8
102,Chase Adams,6-3,185,Guard,19,0,5.7,0.5,1.6,.333,0.2,0.3,.600,0.4,1.3,.333,0.1,0.1,1.000,0.3,0.1,0.1,1.5,0.1,0.6,0.7,0.5
103,Chris Adams,6-10,225,Center,27,14,20.7,1.6,3.5,.463,1.6,3.3,.478,0.0,0.2,.463,0.8,1.0,.750,1.1,0.4,0.4,4.1,1.5,2.2,3.7,0.9
104,Chris Adams,6-4,194,Guard,107,18,17.3,1.3,3.7,.366,0.2,0.6,.318,1.1,3.0,.366,0.1,0.1,.688,0.8,0.3,0.0,3.9,0.1,1.2,1.3,0.5
105,Christian Adams,6-3,190,Guard,52,12,10.3,0.5,1.8,.304,0.5,1.4,.338,0.1,0.4,.304,0.4,0.6,.636,0.5,0.3,0.1,1.6,0.2,1.0,1.1,0.9
106,Danny Adams,6-4,217,Guard,103,4,10.2,1.0,2.7,.374,0.2,0.5,.375,0.8,2.2,.374,0.2,0.4,.537,0.4,0.4,0.0,3.0,0.4,0.7,1.1,0.3
107,Darian Adams,6-3,200,Guard,62,30,22.4,1.8,5.0,.356,1.1,2.5,.442,0.7,2.5,.356,1.1,1.5,.742,2.1,0.6,0.2,5.3,0.5,1.9,2.4,1.3
108,David Adams,6-2,185,Guard,59,21,21.9,2.3,5.7,.409,1.2,2.8,.410,1.2,2.9,.409,1.4,1.8,.780,1.2,0.6,0.0,7.3,0.7,2.1,2.8,1.2
109,DeAndre Adams,5-8,158,Guard,65,3,13.4,0.5,1.5,.323,0.4,1.0,.358,0.1,0.4,.323,0.6,1.0,.641,2.4,0.8,0.1,1.7,0.1,1.0,1.1,1.3
110,Derek Adams,6-5,180,Guard,16,0,8.3,0.4,1.6,.231,0.1,0.3,.200,0.3,1.3,.231,0.4,0.5,.875,0.4,0.3,0.1,1.5,0.1,0.6,0.7,0.7
111,Dionte Adams,6-7,215,Forward,89,21,11.5,1.0,2.1,.450,1.0,2.1,.457,0.0,0.0,.450,0.6,1.0,.635,0.3,0.3,0.6,2.5,1.2,1.8,3.0,0.5
112,Drew Adams,6-1,185,Guard,6,0,1.8,0.2,0.5,.333,0.2,0.5,.333,0.0,0.0,.333,0.0,0.0,,0.2,0.0,0.0,0.3,0.2,0.2,0.3,0.2
113,Dustin Adams,6-7,225,Forward,23,0,2.8,0.3,0.7,.400,0.3,0.7,.400,0.0,0.0,.400,0.3,0.3,.750,0.0,0.0,0.1,0.8,0.4,0.3,0.7,0.1
114,Eric Adams,5-11,160,Guard,12,4,16.7,1.7,5.9,.282,0.4,1.8,.227,1.3,4.1,.282,0.7,0.8,.800,1.3,0.6,0.0,5.3,0.0,1.2,1.2,2.0
115,Eric Adams,6-7,185,Forward,92,34,13.2,1.8,2.9,.625,1.8,2.9,.628,0.0,0.0,.625,1.2,1.7,.694,0.4,0.6,0.9,4.8,1.4,2.3,3.7,0.9
116,Erik Adams,6-5,195,Guard,49,21,20.9,2.5,6.1,.403,2.0,4.8,.422,0.4,1.3,.403,0.8,1.3,.661,0.7,0.7,0.4,6.2,1.5,2.9,4.3,1.1
117,Garrius Adams,6-6,200,Guard,120,70,24.8,2.2,5.9,.369,1.3,2.9,.448,0.9,3.0,.369,1.5,2.2,.663,1.6,0.9,0.2,6.7,0.8,2.5,3.3,1.3
118,Girod Adams,5-10,170,Guard,32,15,19.7,1.7,4.4,.373,0.8,1.9,.417,0.9,2.6,.373,1.1,1.4,.773,1.6,0.7,0.1,5.3,0.2,1.4,1.5,1.4
119,Hassan Adams,6-4,220,Guard,130,100,27.8,5.8,11.6,.499,5.2,9.7,.535,0.6,1.9,.499,1.9,2.7,.704,2.0,1.8,0.7,14.0,2.5,3.0,5.4,2.0
120,Jalen Adams,6-3,195,Guard,124,99,31.5,5.3,11.9,.443,4.2,8.6,.485,1.1,3.4,.443,2.1,2.5,.824,4.1,1.2,0.3,13.8,0.8,2.9,3.7,2.6
121,Jamie Adams,5-10,166,Guard,62,59,30.4,4.7,12.8,.369,2.6,6.4,.406,2.1,6.5,.369,4.0,5.2,.782,3.4,1.7,0.0,15.6,0.4,1.9,2.3,3.3
122,Jaylen Adams,6-1,180,Guard,110,108,36.3,4.8,11.3,.427,2.4,5.1,.467,2.5,6.2,.427,5.3,6.3,.838,5.4,1.5,0.2,17.4,0.5,2.8,3.4,2.9
123,Jeremy Adams,6-5,220,Guard,61,1,10.4,0.7,2.1,.352,0.5,1.4,.364,0.2,0.7,.352,0.8,1.2,.630,0.2,0.2,0.0,2.4,0.4,1.0,1.4,0.7
124,Jeremy Adams,6-5,220,Guard,16,7,18.8,1.6,4.9,.316,1.5,4.2,.358,0.1,0.8,.316,2.6,3.8,.672,0.6,0.4,0.1,5.8,1.3,1.4,2.6,0.9
125,Jo'Van Adams,6-0,200,Guard,30,20,28.3,4.1,10.0,.407,2.9,6.4,.448,1.2,3.6,.407,1.6,2.2,.723,2.4,2.1,0.1,10.9,0.8,2.5,3.3,2.6
126,John Adams,6-6,225,Forward,98,18,13.4,1.1,2.5,.429,0.7,1.6,.468,0.3,0.9,.429,0.6,0.9,.678,0.4,0.4,0.2,3.1,0.7,2.0,2.6,0.8
127,Jonathan Adams,6-6,215,Forward,134,31,17.9,1.4,3.8,.384,1.0,2.5,.418,0.4,1.3,.384,0.6,0.7,.740,1.3,0.3,0.4,3.8,0.9,2.5,3.4,0.9
128,Jordan Adams,6-5,220,Guard,69,63,30.2,5.4,11.6,.467,4.0,7.3,.548,1.4,4.3,.467,4.2,5.0,.839,2.1,2.4,0.2,16.4,1.3,3.3,4.6,1.4
129,Josh Adams,6-2,185,Guard,132,122,32.7,4.4,10.1,.434,3.0,5.8,.512,1.4,4.3,.434,3.6,4.7,.760,3.1,1.1,0.3,13.8,0.5,2.8,3.3,2.5
130,Julian Adams,6-1,175,Guard,2,0,4.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0
131,Kevin Adams,6-2,180,Guard,3,0,1.3,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
