,name,height,weight,position,games_played,games_started,min_per,field_goal,field_attmps,field_pct,two_pointer,two_pattamps,two_pct,three_ptrs,three_pattmp,three_pct,free_throws,free_attmps,free_pct,assists,steals,blocks,points,off_reb,def_reb,total_reb,turnovers
20439,Luke Moyer,6-0,190,Guard,52,2,12.3,1.5,3.3,.437,0.3,0.8,.359,1.2,2.6,.437,0.4,0.6,.719,0.9,0.2,0.0,4.6,0.2,0.7,0.9,0.9
20440,Matthew Moyer,6-8,217,Forward,66,25,15.3,1.2,2.8,.426,1.0,2.0,.515,0.2,0.9,.426,0.8,1.3,.628,0.5,0.3,0.3,3.4,1.2,2.0,3.2,0.7
20441,Michael Moyer,6-3,207,Guard,8,0,1.1,0.1,0.3,.500,0.0,0.1,.000,0.1,0.1,.500,0.0,0.0,,0.0,0.0,0.0,0.4,0.0,0.1,0.1,0.0
20442,Michael Moynihan,6-1,182,Guard,23,6,11.0,1.4,3.6,.390,0.9,2.0,.426,0.5,1.5,.390,1.4,1.9,.727,1.3,0.5,0.0,4.7,0.3,0.5,0.8,1.5
20443,Alan Mozee,6-0,175,Guard,13,0,3.4,0.3,0.6,.500,0.0,0.1,.000,0.3,0.5,.500,0.1,0.2,.500,0.3,0.2,0.0,1.0,0.1,0.1,0.2,0.3
20444,Bryson Mozone,6-6,183,Guard,20,3,15.6,1.8,4.7,.376,0.5,1.2,.391,1.3,3.5,.376,0.3,0.5,.667,0.6,0.5,0.3,5.1,0.5,2.4,2.9,1.0
20445,Paulin Mpawe,6-10,227,Forward,74,29,10.6,0.7,1.7,.423,0.7,1.7,.423,0.0,0.0,.423,0.5,1.1,.487,0.1,0.2,0.3,1.9,1.0,1.2,2.2,0.6
20446,Dominique Mpondo,6-10,265,Center,43,11,9.9,0.6,1.5,.406,0.6,1.5,.406,0.0,0.0,.406,0.4,0.7,.621,0.2,0.1,0.7,1.6,0.9,1.7,2.7,0.5
20447,Johann Mpondo,6-8,245,Forward,117,74,19.1,1.5,3.2,.455,1.5,3.2,.459,0.0,0.0,.455,0.8,1.4,.620,0.3,0.3,0.3,3.8,1.1,2.3,3.4,1.1
20448,Axel Mpoyo,6-8,215,Forward,65,40,23.8,2.9,6.0,.486,2.5,4.9,.514,0.4,1.2,.486,1.4,2.2,.636,0.4,0.7,0.7,7.7,1.8,3.8,5.5,1.6
20449,Chad Mraz,6-0,175,Guard,13,0,2.5,0.1,0.3,.250,0.0,0.2,.000,0.1,0.2,.250,0.5,0.5,.857,0.7,0.2,0.0,0.7,0.0,0.0,0.0,0.2
20450,Janko Mrksic,6-10,275,Center,66,4,6.7,0.4,1.1,.384,0.4,1.1,.384,0.0,0.0,.384,0.0,0.3,.136,0.2,0.1,0.2,0.9,0.7,0.8,1.5,0.3
20451,Chris Mroz,5-11,185,Guard,41,5,7.8,0.3,1.0,.300,0.2,0.6,.280,0.1,0.4,.300,0.2,0.4,.588,0.8,0.2,0.0,1.0,0.1,0.3,0.4,0.5
20452,Alek Mroziki,6-7,190,Guard,28,0,3.8,0.2,0.7,.263,0.0,0.4,.100,0.1,0.3,.263,0.1,0.1,1.000,0.3,0.0,0.0,0.6,0.1,0.3,0.4,0.3
20453,Deyshonee Much,6-5,170,Guard,111,60,23.2,3.1,7.5,.416,1.2,2.8,.442,1.9,4.7,.416,1.0,1.3,.768,1.7,1.0,0.2,9.1,0.6,2.4,3.1,1.3
20454,Sebastian Much,6-8,220,Forward,53,22,16.8,1.9,4.7,.410,0.9,1.8,.500,1.0,2.8,.410,0.4,0.8,.550,1.1,0.3,0.2,5.3,0.7,1.5,2.2,1.4
20455,Isaiah Mucius,6-8,190,Forward,31,2,21.8,2.3,7.1,.320,1.6,4.5,.370,0.6,2.6,.320,1.4,2.3,.614,0.7,0.4,0.3,6.5,1.3,2.5,3.7,1.0
20456,Jean-Micheal Mudiay,6-3,200,Guard,14,0,2.0,0.0,0.7,.000,0.0,0.4,.000,0.0,0.4,.000,0.2,0.6,.333,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2
20457,Alex Mudronja,6-5,195,Guard,20,0,3.9,0.3,0.8,.400,0.3,0.4,.625,0.1,0.4,.400,0.2,0.4,.375,0.3,0.2,0.1,0.8,0.1,0.4,0.4,0.6
20458,Austin Mueller,6-6,210,Forward,21,7,15.3,0.7,1.8,.395,0.5,1.2,.440,0.2,0.6,.395,0.5,0.7,.786,0.3,0.4,0.3,2.1,0.3,1.4,1.7,1.0
20459,Scott Mueller,6-1,185,Guard,1,0,3.0,0.0,3.0,.000,0.0,0.0,,0.0,3.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20460,Don MuepoKelly,6-6,240,Forward,74,42,18.6,2.5,5.3,.467,2.5,5.2,.473,0.0,0.1,.467,1.4,2.4,.586,0.8,1.1,1.0,6.3,1.6,2.7,4.3,1.1
20461,Deverin Muff,6-8,212,Forward,107,24,7.6,0.6,1.1,.488,0.6,1.1,.488,0.0,0.0,.488,0.4,0.6,.600,0.1,0.3,0.4,1.5,0.5,0.5,1.0,0.3
20462,Eric Mugavero,6-5,180,Guard,6,0,5.7,0.3,1.7,.200,0.2,0.7,.250,0.2,1.0,.200,0.3,0.8,.400,0.0,0.2,0.0,1.2,0.2,1.8,2.0,0.2
20463,Mike Muggeo,6-3,203,Guard,4,0,1.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.3,0.3,0.0,0.0,0.3,0.3,0.5,0.0
